,age,is_selfie_verified,gender,schools,city,show_gender_on_profile,relationship_intent,sexual_orientations,hide_age,hide_distance,is_traveling,custom_gender,zodiac_sign,height,education_level,relationship_type,workout,professions,company_name,has_face
3358,19.0,True,,Rijksuniversiteit Groningen,Groningen,0.0,Still figuring it out,Straight,,,,,Cancer,,Bachelors,Monogamy,Often,Gehandicaptenzorg,,True
3359,24.0,True,F,Hotel Management School Maastricht,Amsterdam,,,,0.0,0.0,,,Cancer,,,,,Assistent categorymanager,PLUS retail,True
3360,19.0,False,,Friese Poort,,0.0,Short-term fun,,,,,,,,,,,,,True
3361,31.0,True,,Hotel School The Hague,,0.0,"Long-term, open to short",,,,,,Leo,169.0,Bachelors,Monogamy,,HR,Bouw,True
3362,25.0,False,F,Hanze University of Applied Sciences Groningen,Groningen,1.0,,,0.0,0.0,0.0,,,,,,,,,True
3363,22.0,False,,University of Groningen,,0.0,Still figuring it out,,,,,,Libra,169.0,Bachelors,,,,,True
3364,23.0,True,,,,0.0,"Short-term, open to long",,,,,,,,,,Everyday,,,True
3365,22.0,True,M,AMFI,Amsterdam,,"Short-term, open to long",,,,0.0,,Pisces,,,,,Full time student,,True
3366,30.0,True,F,,Groningen,1.0,"Long-term, open to short",,0.0,0.0,,,Libra,175.0,,Monogamy,,,,True
3367,22.0,False,F,Universität zu Köln,Köln,1.0,,,,,0.0,,,,,,,,,True
3368,22.0,True,,,Vleuten,0.0,"Long-term, open to short",,,,,,Aquarius,178.0,In Grad School,,,,,True
3369,22.0,False,F,Rijksuniversiteit Groningen,Groningen,,,,,,,,,,,,,,,True
3370,21.0,False,,,,0.0,Still figuring it out,,,,,,Sagittarius,187.0,In College,,Often,,,False
3371,27.0,False,,,Groningen,0.0,Still figuring it out,,,,,,Virgo,,,Monogamy,,,,True
3372,27.0,False,,,Bremen,0.0,"Long-term, open to short",,0.0,0.0,,,Scorpio,200.0,High School,Monogamy,,Erzieher,,True
3373,21.0,False,,Universität Bremen,,0.0,,,,,,,Taurus,,,,,,,True
3374,28.0,False,,,,0.0,Still figuring it out,,,,,,,,,,,,,True
3375,25.0,True,M,Panyapiwat,อำเภอปากเกร็ด,1.0,Long-term partner,few,0.0,0.0,1.0,GAY,Pisces,170.0,Bachelors,Monogamy,Sometimes,,,True
3376,19.0,False,F,Havo,Deventer,1.0,Still figuring it out,,,,0.0,,Aquarius,,,,Sometimes,Bediening,,True
3377,29.0,False,F,,Groningen,,"Short-term, open to long",,,,0.0,,,,,Ethical non-monogamy,Sometimes,,,True
3378,22.0,False,,,,0.0,Long-term partner,,,,,,Scorpio,,,Monogamy,,,,True
3379,22.0,False,,University of Groningen,,0.0,New friends,,,,,,,,In Grad School,,Everyday,,,True
3380,23.0,False,,roc friesepoort,Surhuizum,0.0,"Long-term, open to short",,,,,,Gemini,,Trade School,,Sometimes,,,False
3381,25.0,True,F,Hanzehogeschool Groningen,Groningen,1.0,Still figuring it out,,,,,,Scorpio,,,Monogamy,,Pedagogisch medewerker,,True
3382,21.0,False,,Rijksuniversiteit Groningen,Groningen,0.0,,,,,,,Libra,,,,,horeca overlever,,True
3383,20.0,True,,,Amsterdam,0.0,,,,,,,Scorpio,,,,,,,True
3384,30.0,False,F,,,1.0,Still figuring it out,Straight,,,,,,,,,,,,True
3385,21.0,True,,,Groningen,0.0,Still figuring it out,,,,,,Pisces,,,,,Bediening,Hotel & Spa Spoorzicht,True
3386,21.0,True,,Hanzehogeschool Groningen,Groningen,0.0,,,,,,,Gemini,,In Grad School,,,,,True
3387,30.0,True,M,,,,Short-term fun,,,,,,,,,,,,,False
3388,22.0,False,,Tussenjaar,Groningen,0.0,,,,,,,Capricorn,,,,,"[{'company': {'name': 'Spoedtest'}, 'title': None}]",Spoedtest,True
3389,23.0,False,,Hogeschool Saxion,Deventer,0.0,Still figuring it out,,,,,,Scorpio,,In Grad School,,,,,True
3390,37.0,True,M,,Brema,,Long-term partner,,,,0.0,,Libra,170.0,Masters,Monogamy,,,,True
3391,27.0,True,M,,Groningen,1.0,Short-term fun,,,,0.0,,Scorpio,188.0,High School,Open relationship,Often,Java Traineeship,CodeGorilla,False
3392,28.0,False,,,,0.0,Still figuring it out,,,,,,,,,,,Fysiotherapeut & Reisleider,,True
3393,28.0,True,,University of Groningen,Groningen,0.0,"Long-term, open to short",,,,,,Taurus,,Masters,,,"[{'company': {'name': 'BZK'}, 'title': None}]",BZK,True
3394,23.0,False,F,,De Rijp,1.0,Still figuring it out,Straight,,,,,,,,,,Health Consultant,,True
3395,25.0,False,,University of Groningen,Groningen,0.0,"Short-term, open to long",Bisexual,,,,,Capricorn,,Masters,Ethical non-monogamy,,General manager of German PR,,True
3396,30.0,False,,Rijksuniversiteit Groningen,Groningen,0.0,"Short-term, open to long",,,,,,Scorpio,,,,,"[{'company': {'name': 'Overheid'}, 'title': None}]",Overheid,True
3397,24.0,True,M,"Técnico em edificações IFES
",Espírito Santo,1.0,,,,,,,,,In College,,,Elétrica,UFES,True
3398,20.0,False,,University of Groningen,Groningen,0.0,,,,,0.0,,Virgo,,In College,,Often,,,True
3399,19.0,False,,Hogeschool van Arnhem en Nijmegen,,0.0,,,,,,,,,,,,,,True
3400,23.0,False,,,,0.0,Still figuring it out,,,,,,,,,,,,,False
3401,21.0,True,,,Groningen,0.0,Still figuring it out,,,,,,Aries,,,,Sometimes,,,True
3402,24.0,False,,,,0.0,Long-term partner,,,,,,Aquarius,,Trade School,,Never,,,False
3403,20.0,False,F,Hogeschool Utrecht,Huizen,1.0,,,,,0.0,,Sagittarius,,In Grad School,,,,,True
3404,34.0,True,,,Groningen,0.0,"Short-term, open to long",,,,,,Gemini,,,,,,,True
3405,22.0,True,,Popular Culture,Groningen,0.0,,,,,,,Taurus,,In College,,Often,Social Media Marketeer,,True
3406,18.0,True,,,,0.0,Still figuring it out,,,,,,Capricorn,173.0,In College,Monogamy,,,,True
3407,20.0,False,,Hogeschool Saxion,,0.0,Still figuring it out,,,,,,,,,,,,,True
3408,26.0,True,M,Hanzehogeschool Groningen,Groningen,,"Long-term, open to short",,,,0.0,,Aries,,In Grad School,Monogamy,Sometimes,Geheim,Geheim,True
3409,21.0,False,,,,0.0,,,,,,,,,Bachelors,,,,,True
3410,22.0,False,F,Windesheim,Steenwijk,1.0,,Straight,,,,,Aquarius,,Bachelors,,Often,,,True
3411,24.0,False,,Erasmus Universiteit Rotterdam,Zaandam,0.0,"Long-term, open to short",,,,,,Capricorn,,Masters,,Sometimes,,,True
3412,24.0,False,,,Feira De Santana,0.0,Short-term fun,,,,1.0,,Leo,,In College,,Sometimes,,,True
3413,23.0,True,,Onderwijswetenschappen,Groningen,0.0,"Long-term, open to short",,,,0.0,,,,Masters,,Sometimes,Leerkracht basisonderwijs,,True
3414,24.0,True,M,Noorderpoort,Zuidhorn,1.0,Short-term fun,Questioning,,,,Trans vrouw,Gemini,,Trade School,Monogamy,Sometimes,Zorg,,False
3415,27.0,False,,,,0.0,,,,,,,,,,,,Achter de bar,,True
3416,21.0,True,,NHL Hogeschool,Groningen,0.0,"Long-term, open to short",,,,,,Gemini,174.0,In College,,Sometimes,geen,,True
3417,20.0,False,,,Groningen,0.0,,,,,,,Scorpio,,,,,,,False
3418,23.0,False,,,,0.0,"Long-term, open to short",,,,0.0,,,187.0,,,,,,True
3419,32.0,False,M,,Groningen,,Still figuring it out,,,,,,Aquarius,,,,,Content manager,Club Guy & Roni & NITE,False
3420,27.0,True,,Hogeschool Utrecht,,0.0,Still figuring it out,,,,,,,176.0,,,,Docent Nederlands,,True
3421,19.0,False,M,Hanzehogeschool Groningen,Groningen,1.0,"Long-term, open to short",Gay,,,,,Aries,174.0,In Grad School,Monogamy,Sometimes,Horeca,IKEA,True
3422,26.0,False,,,,0.0,Still figuring it out,,,,,,,,,,Often,,,True
3423,,True,M,Grafisch Lyceum Zwolle,Groningen,1.0,Still figuring it out,few,1.0,0.0,,,Aries,,In Grad School,,Sometimes,communicatieadviseur,een marketingafdeling,True
3424,26.0,False,,,,0.0,"Short-term, open to long",,,,,,Leo,,,,,,,True
3425,27.0,False,,Rijksuniversiteit Groningen,,0.0,Still figuring it out,,0.0,0.0,,,,,,,,,,True
3426,24.0,False,F,,Groningen,,,,,,,,Libra,,Masters,,Everyday,,,False
3427,43.0,True,,Vrije Universiteit Amsterdam,Apeldoorn,0.0,"Long-term, open to short",Gay,0.0,0.0,,,,182.0,,,,Zelfstandig marketingadviseur en docent in marketing,,False
3428,21.0,False,,Hogeschool van Arnhem en Nijmegen,,0.0,Still figuring it out,,,,,,Capricorn,,In Grad School,,Often,Zorgmedewerker,,True
3429,18.0,False,,University of Groningen,Groningen,0.0,Still figuring it out,,,,,,Leo,170.0,In College,Monogamy,Often,,,True
3430,23.0,False,,Hogeschool voor de Kunsten ArtEZ,Hengelo,0.0,"Short-term, open to long",,,,,,Cancer,,In Grad School,,Often,Honden uitlaten,,False
